CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*
01112	58	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	58	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	58	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
01112	58	A0432	1.75	1.084	$231.98	$438.43	$442.73	n/a	n/a
01112	58	A0433	2.75	1.084	$231.98	$688.97	$695.72	$852.95	n/a
01112	58	A0434	3.25	1.084	$231.98	$814.23	$822.21	"$1,008.03"	n/a
01112	58	A0435	1.00	1.084	$8.93	$8.93	$13.40	n/a	$13.40
01112	58	A0436	1.00	1.084	$23.83	$23.83	$35.75	n/a	$35.75
01112	59	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	59	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	59	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	59	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	59	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	59	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	59	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
01112	59	A0432	1.75	1.084	$231.98	$438.43	$442.73	n/a	n/a
01112	59	A0433	2.75	1.084	$231.98	$688.97	$695.72	$852.95	n/a
01112	59	A0434	3.25	1.084	$231.98	$814.23	$822.21	"$1,008.03"	n/a
01112	59	A0435	1.00	1.084	$8.93	$8.93	$13.40	n/a	$13.40
01112	59	A0436	1.00	1.084	$23.83	$23.83	$35.75	n/a	$35.75
01112	60	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	60	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	60	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	60	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	60	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	60	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	60	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
